vnum,volcano_name,region,latitude,longitude,elevation_meters,is_monitored,nvews_threat,threat_score,alert_level,color_code,alert_score,color_score,obs_abbr,obs_fullname,volcano_url,volcano_image_url,hans_url,eq_count_30d,eq_max_mag_30d,eq_avg_mag_30d,eq_avg_depth_km,eq_shallow_count,composite_risk_score
321070,Indian Heaven Volcanic Field,Washington,45.93,-121.82,1806,False,Low Threat,2,,,0,0,cvo,Cascades Volcano Observatory,https://www.usgs.gov/volcanoes/indian-heaven-volcanic-field,https://volcanoes.usgs.gov/vsc/images/indian_heaven/Indian-Heaven_Lemei-Rock_home.jpg,,0,0.0,0.0,0.0,0,10.0
322020,Mount Jefferson,Oregon,44.674,-121.8,3199,True,Low Threat,2,,,0,0,cvo,Cascades Volcano Observatory,https://www.usgs.gov/volcanoes/mount-jefferson,https://volcanoes.usgs.gov/vsc/images/mount_jefferson/Mount-Jefferson-home.jpg,,0,0.0,0.0,0.0,0,10.0
321060,West Crater volcanic field,Washington,45.88,-122.08,1329,False,Low Threat,2,,,0,0,cvo,Cascades Volcano Observatory,https://www.usgs.gov/volcanoes/west-crater-volcanic-field,https://volcanoes.usgs.gov/vsc/images/west_crater/West_Crater_LeeSiebert_107020-home.jpg,,0,0.0,0.0,0.0,0,10.0
244010,Ofu-Olosega,American Samoa,-14.175,-169.618,639,True,Low Threat,2,,,0,0,hvo,Hawaiian Volcano Observatory,https://www.usgs.gov/volcanoes/ofu-olosega,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/styles/full_width/public/media/images/Ofu-OlosegaFromSpace.jpg?itok=7iosJ9vP,,0,0.0,0.0,0.0,0,10.0
244001,Ta'u Island,American Samoa,-14.23,-169.454,931,True,Low Threat,2,,,0,0,hvo,Hawaiian Volcano Observatory,https://www.usgs.gov/volcanoes/ta-u-island,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/media/images/Ta%27u_Island.JPG,,0,0.0,0.0,0.0,0,10.0
244020,Tutuila Island,American Samoa,-14.295,-170.7,653,True,Low Threat,2,,,0,0,hvo,Hawaiian Volcano Observatory,https://www.usgs.gov/volcanoes/tutuila-island,https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/styles/full_width/public/media/images/TutuilaFromSpace.jpg?itok=QtN240lt,,0,0.0,0.0,0.0,0,10.0
284210,Esmeralda Bank,Northern Mariana Islands,15,145.25,-43,False,Low Threat,2,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/esmeralda-bank,https://volcanoes.usgs.gov/vsc/images/esmeralda_bank/esmeralda_bank-home.jpg,,0,0.0,0.0,0.0,0,10.0
284143,Maug Islands,Northern Mariana Islands,20.02,145.22,227,False,Low Threat,2,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/maug-islands,https://volcanoes.usgs.gov/vsc/images/maug_islands/Maug_islands-home.jpg,,0,0.0,0.0,0.0,0,10.0
284202,Ruby,Northern Mariana Islands,15.62,145.57,-174,False,Low Threat,2,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/ruby,https://volcanoes.usgs.gov/vsc/images/ruby/Ruby-home.jpg,,0,0.0,0.0,0.0,0,10.0
284193,South Sarigan seamount,Northern Mariana Islands,16.58,145.78,-184,False,Low Threat,2,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/south-sarigan-seamount,,,0,0.0,0.0,0.0,0,10.0
284191,Zealandia Bank,Northern Mariana Islands,16.88,145.85,0,False,Low Threat,2,,,0,0,nmi,Northern Mariana Islands,https://www.usgs.gov/volcanoes/zealandia-bank,,,0,0.0,0.0,0.0,0,10.0
324010,Black Butte Crater lava field,Idaho,43.18,-114.35,1478,False,Low Threat,2,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/black-butte-crater-lava-field,https://volcanoes.usgs.gov/vsc/images/black_butte_crater_lava_field/Shoshone-Panoramio.jpg,,0,0.0,0.0,0.0,0,10.0
324020,Craters of the Moon volcanic field,Idaho,43.42,-113.5,2005,False,Low Threat,2,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/craters-moon-volcanic-field,https://volcanoes.usgs.gov/vsc/images/craters_of_the_moon/Craters_of_Moon-NPS.jpg,,0,0.0,0.0,0.0,0,10.0
324040,Hells Half Acre lava field,Idaho,43.5,-112.45,1631,False,Low Threat,2,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/hells-half-acre-lava-field,https://volcanoes.usgs.gov/vsc/images/hells_half_acre/NASA-Hells_half_acre.jpg,,0,0.0,0.0,0.0,0,10.0
327040,Markagunt Plateau volcanic field,Utah,37.58,-112.67,2840,False,Low Threat,2,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/markagunt-plateau-volcanic-field,https://volcanoes.usgs.gov/vsc/images/markagunt_plateau/MarkaguntPlateau-Home.jpg,,0,0.0,0.0,0.0,0,10.0
324030,Wapi Lava Field,Idaho,42.88,-113.22,1604,False,Low Threat,2,,,0,0,yvo,Yellowstone Volcano Observatory,https://www.usgs.gov/volcanoes/wapi-lava-field,https://volcanoes.usgs.gov/vsc/images/wapi_lava_field/Wapi-Smithsonian.jpg,,0,0.0,0.0,0.0,0,10.0
311161,Korovin,Alaska - Aleutians,52.38167,-174.16527,1533,True,,0,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/activity/Korovin.php,https://avo.alaska.edu/images/dbimages/display/1109187436_54_3.jpg,,4,3.8,3.27,155.02,0,6.6
